"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
29,0.0105868192406238,0.0211834276643062,0.00764152842603218,0.0497473065993181,0.0178488927450882,0.00888067877939289,0.0334393571293664,0.0140695635775971,-337.299782353005
30,0.0148837228369489,0.0235642620170875,0.00404445407274333,0.0341411014944636,0.0177353441716507,0.00915302687131964,0.0355252657370573,0.0191562138255791,-334.813411632054
31,0.0131877938604344,0.0268807370016085,0.00210116542542016,0.0275847095506159,0.0205503241313213,0.00354094623771853,0.0382105378868866,0.0335370978761863,-333.793617429147
32,0.013445405567536,0.0293997414322869,0.00143652534484616,0.0298943669131566,0.021523878622353,0.00711223231839558,0.0330206171286498,0.0492783962502467,-334.279038846229
33,0.0153091305514842,0.0180218687943882,0.0102937555340504,0.0369423355176446,0.0250414863469195,0.00643388155356505,0.026448918065679,0.0391034617847253,-337.051875615963
34,0.0224420702889274,0.0375902030398862,0.00444303107364455,0.0338996907906524,0.0226948836533107,0.00498139143530554,0.0257111863892916,0.0258931140496788,-338.143040877958
35,0.00454287459502843,0.0234426610920083,0.0151542411769182,0.0278268887236048,0.0150658718483239,0.0125435351904634,0.0441057104029812,0.0395892690061019,-341.663540394342
36,0.0110996688076346,0.023628846358695,0.0221031369491342,0.029757002125276,0.0111893583142209,0.0219243820492122,0.042207388336407,0.0543193718894333,-345.650781782642
37,0.0113659903167438,0.0248751443948207,0.00196039080540754,0.023899280442307,0.0280298670976372,0.00103783122866097,0.0341411714957758,0.0561381465628623,-336.471014307452
38,0.0174346236191853,0.0306777153199002,0.00405596685958627,0.0296674587961718,0.0194323532533874,0.00161974664624976,0.0265823763600322,0.0373505353758592,-335.56607957117
39,0.0182356029977479,0.0237293206759476,0.00408356239547682,0.043910345884922,0.0233568574446185,0.00855940426389884,0.0335719236880247,0.0458083359887725,-336.451412462051
40,0.0164266056040772,0.0260084173287517,0.00816992408524153,0.0434480089841541,0.0192757068106669,0.00582422615960195,0.0232297480629009,0.0471105413653261,-337.788360399037
41,0.00901361187598071,0.0336650833458883,0.0075134267017869,0.0344877030296487,0.0254764852428738,0.00995098641782566,0.0243741829351751,0.0235416761322398,-338.787938437616
42,0.0085667074039463,0.0317573621902052,0.00368051625950508,0.0386444000753088,0.0106789660629689,0.0117878354542857,0.0320715739394253,0.0222269614204935,-337.549446947479
43,0.0166830341508703,0.0194713049058194,0.00242190173247921,0.0385718397494357,0.0216676729946614,0.0120977883297336,0.0294894757332178,0.0256859452224519,-335.53499508399
44,0.0203758888978059,0.0271397739506399,0.00165121116138114,0.0325281055771477,0.0135181719238769,0.0100226461994568,0.0392425372760382,0.0480911969813454,-336.165109232451
45,0.00500044126921123,0.0383325492100406,0.00116580662495722,0.0117849521030383,0.0159193115132305,0.014408343389824,0.0310026013269058,0.0388016386148531,-337.159585522989
46,0.0244535562387395,0.0258056144893223,0.00161696451064352,0.0482927591660995,0.0182137878222526,0.00235829670892559,0.0408092776662772,0.0310691089214028,-338.008594055387
47,0.0146231235465672,0.0238630826829311,0.000657361938353858,0.0299663257104755,0.0151411541472458,0.00296251645079917,0.0440908079306181,0.0302897217788855,-334.662607818804
48,0.015568609754218,0.0226787602089777,0.00636313537702445,0.0271599594630059,0.0138753846792956,0.00163517437457441,0.0265552699575593,0.0339952256373519,-336.835777684051
49,0.0209357591966895,0.0179593598712015,0.00748401700829406,0.0263318280913104,0.0264356036057092,0.00740355076374492,0.0221004857339936,0.0522702598080257,-338.000225242644
50,0.0224782325577535,0.0363904505182266,0.00184625351142279,0.0128435919822121,0.0254339157334972,0.00576411980084219,0.0364429967142081,0.0599261206703425,-336.346669449758
51,0.00585929336362366,0.0534010389677298,0.00259224752077492,0.00244152487345694,0.023174104948238,0.00141460545334408,0.0333968527976397,0.0556083335075052,-334.072983418221
52,0.00380039896566925,0.0772632218992087,0.00268479859879213,0.0022965676734786,0.0268734305205886,0.00141709886548353,0.0398620061470496,0.0710218526355595,-335.833935098339
