"genus_species","Family","mating_system","Haploid.Chrom.."
"Dyssodia_papposa","Asteraceae","sc","13"
"Emilia_fosbergii","Asteraceae","sc","10"
"Encelia_canescens","Asteraceae","sc","17"
"Erigeron_canadensis","Asteraceae","sc","9"
"Erigeron_strigosus","Asteraceae","sc","14"
"Erigeron_sumatrensis","Asteraceae","sc","27"
"Eriophyllum_congdonii","Asteraceae","sc","7"
"Eriophyllum_nubigenum","Asteraceae","sc","7"
"Eupatorium_perfoliatum","Asteraceae","sc","10"
"Eurybia_sibirica","Asteraceae","sc","9"
"Flaveria_bidentis","Asteraceae","sc","18"
"Flaveria_campestris","Asteraceae","sc","18"
"Flaveria_trinervia","Asteraceae","sc","18"
"Galinsoga_parviflora","Asteraceae","sc","8"
"Galinsoga_quadriradiata","Asteraceae","sc","16"
"Glebionis_segetum","Asteraceae","sc","9"
"Grindelia_ciliata","Asteraceae","sc","6"
"Gymnarrhena_micrantha","Asteraceae","sc","9"
"Haplopappus_paucidentatus","Asteraceae","sc","5"
"Helianthus_agrestis","Asteraceae","sc","17"
"Helianthus_exilis","Asteraceae","sc","17"
"Hemizonella_minima","Asteraceae","sc","16"
"Hieracium_antarcticum","Asteraceae","sc","9"
"Hypochaeris_angustifolia","Asteraceae","sc","4"
"Hypochaeris_glabra","Asteraceae","sc","5"
"Hypochaeris_salzmanniana","Asteraceae","sc","4"
"Lactuca_saligna","Asteraceae","sc","9"
"Lactuca_serriola","Asteraceae","sc","9"
"Lactuca_tenerrima","Asteraceae","sc","8"
"Lactuca_viminea","Asteraceae","sc","9"
"Lactuca_virosa","Asteraceae","sc","9"
"Lagophylla_ramosissima","Asteraceae","sc","7"
"Lapsana_communis","Asteraceae","sc","7"
"Lasthenia_burkei","Asteraceae","sc","6"
"Lasthenia_glaberrima","Asteraceae","sc","5"
"Lasthenia_kunthii","Asteraceae","sc","5"
"Lasthenia_microglossa","Asteraceae","sc","23"
"Layia_carnosa","Asteraceae","sc","8"
"Layia_heterotricha","Asteraceae","sc","8"
"Layia_hieracioides","Asteraceae","sc","16"
"Leontodon_hispidus","Asteraceae","sc","7"
"Leptinella_minor","Asteraceae","sc","26"
"Liatris_scariosa","Asteraceae","sc","10"
"Logfia_gallica","Asteraceae","sc","14"
"Madia_sativa","Asteraceae","sc","16"
"Malacothrix_incana","Asteraceae","sc","7"
"Matricaria_discoidea","Asteraceae","sc","9"
"Microseris_acuminata","Asteraceae","sc","18"
"Microseris_bigelovii","Asteraceae","sc","9"
"Microseris_campestris","Asteraceae","sc","18"
"Microseris_douglasii","Asteraceae","sc","9"
"Microseris_elegans","Asteraceae","sc","9"
"Mutisia_campanulata","Asteraceae","sc","26"
"Mutisia_speciosa","Asteraceae","sc","9"
"Onopordum_illyricum","Asteraceae","sc","17"
"Packera_indecora","Asteraceae","sc","86"
"Packera_pauciflora","Asteraceae","sc","87"
"Pappobolus_hypargyreus","Asteraceae","sc","17"
"Pappobolus_imbaburensis","Asteraceae","sc","17"
"Pectis_cylindrica","Asteraceae","sc","24"
"Pectis_ericifolia","Asteraceae","sc","48"
"Pectis_pringlei","Asteraceae","sc","12"
"Pectis_prostrata","Asteraceae","sc","12"
"Pilosella_lactucella","Asteraceae","sc","9"
"Pulicaria_vulgaris","Asteraceae","sc","9"
"Pyrrhopappus_carolinianus","Asteraceae","sc","6"
"Pyrrhopappus_pauciflorus","Asteraceae","sc","6"
"Saussurea_obvallata","Asteraceae","sc","16"
"Scalesia_aspera","Asteraceae","sc","34"
"Senecio_glaucophyllus","Asteraceae","sc","50"
"Senecio_hispidulus","Asteraceae","sc","30"
"Senecio_squarrosus","Asteraceae","sc","30"
"Senecio_sterquilinus","Asteraceae","sc","20"
"Senecio_sylvaticus","Asteraceae","sc","20"
"Senecio_teneriffae","Asteraceae","sc","30"
"Senecio_vulgaris","Asteraceae","sc","20"
"Silphium_integrifolium","Asteraceae","sc","7"
"Silphium_perfoliatum","Asteraceae","sc","7"
"Silybum_eburneum","Asteraceae","sc","17"
"Simsia_chaseae","Asteraceae","sc","17"
"Simsia_dombeyana","Asteraceae","sc","17"
"Simsia_eurylepis","Asteraceae","sc","17"
"Sonchus_asper","Asteraceae","sc","9"
"Sonchus_microcephalus","Asteraceae","sc","15"
"Sonchus_oleraceus","Asteraceae","sc","16"
"Stephanomeria_malheurensis","Asteraceae","sc","8"
"Stephanomeria_paniculata","Asteraceae","sc","8"
"Symphyotrichum_ciliatum","Asteraceae","sc","7"
"Symphyotrichum_frondosum","Asteraceae","sc","7"
"Symphyotrichum_laurentianum","Asteraceae","sc","7"
"Taraxacum_bessarabicum","Asteraceae","sc","8"
"Tetramolopium_consanguineum","Asteraceae","sc","9"
"Tetramolopium_filiforme","Asteraceae","sc","9"
"Tetramolopium_humile","Asteraceae","sc","9"
"Tetramolopium_lepidotum","Asteraceae","sc","9"
"Tetramolopium_remyi","Asteraceae","sc","9"
"Tetramolopium_rockii","Asteraceae","sc","9"
"Tetramolopium_sylvae","Asteraceae","sc","9"
"Tolpis_barbata","Asteraceae","sc","9"
"Tolpis_coronopifolia","Asteraceae","sc","9"
"Tolpis_glabrescens","Asteraceae","sc","9"
"Tolpis_macrorhiza","Asteraceae","sc","9"
"Townsendia_hookeri","Asteraceae","sc","9"
"Tragopogon_dubius","Asteraceae","sc","6"
"Tragopogon_mirus","Asteraceae","sc","12"
"Tragopogon_miscellus","Asteraceae","sc","12"
"Tragopogon_porrifolius","Asteraceae","sc","6"
"Tragopogon_pratensis","Asteraceae","sc","6"
"Tridax_procumbens","Asteraceae","sc","18"
"Ursinia_anthemoides","Asteraceae","sc","8"
"Ursinia_nana","Asteraceae","sc","8"
"Verbesina_glabrata","Asteraceae","sc","17"
"Vernonia_galamensis","Asteraceae","sc","17"
"Xanthium_strumarium","Asteraceae","sc","18"
"Achillea_collina","Asteraceae","si","18"
"Achillea_millefolium","Asteraceae","si","27"
"Achillea_ptarmica","Asteraceae","si","9"
"Achillea_styriaca","Asteraceae","si","18"
"Adenothamnus_validus","Asteraceae","si","14"
"Ageratina_ligustrina","Asteraceae","si","17"
"Ageratum_houstonianum","Asteraceae","si","10"
"Ambrosia_artemisiifolia","Asteraceae","si","18"
"Ambrosia_deltoidea","Asteraceae","si","18"
"Anacyclus_clavatus","Asteraceae","si","9"
"Anacyclus_valentinus","Asteraceae","si","9"
"Arctotis_fastuosa","Asteraceae","si","9"
"Argyranthemum_frutescens","Asteraceae","si","9"
"Argyroxiphium_kauense","Asteraceae","si","14"
"Argyroxiphium_sandwicense","Asteraceae","si","14"
"Arnica_fulgens","Asteraceae","si","19"
"Arnica_sororia","Asteraceae","si","19"
"Arnica_unalaschcensis","Asteraceae","si","19"
"Artemisia_granatensis","Asteraceae","si","9"
"Aster_amellus","Asteraceae","si","9"
"Aster_tataricus","Asteraceae","si","27"
"Asteriscus_daltonii","Asteraceae","si","7"
"Asteriscus_schultzii","Asteraceae","si","7"
"Asteriscus_smithii","Asteraceae","si","7"
"Balduina_angustifolia","Asteraceae","si","18"
"Balduina_atropurpurea","Asteraceae","si","18"
"Balduina_uniflora","Asteraceae","si","36"
"Balsamorhiza_deltoidea","Asteraceae","si","19"
"Bartlettina_sordida","Asteraceae","si","16"
"Berlandiera_lyrata","Asteraceae","si","15"
"Berlandiera_pumila","Asteraceae","si","15"
"Berlandiera_subacaulis","Asteraceae","si","15"
"Bidens_laevis","Asteraceae","si","12"
"Bidens_mitis","Asteraceae","si","12"
"Bidens_polylepis","Asteraceae","si","12"
"Bidens_trichosperma","Asteraceae","si","12"
"Blennosperma_nanum","Asteraceae","si","7"
"Blepharipappus_scaber","Asteraceae","si","8"
"Blepharizonia_laxa","Asteraceae","si","14"
"Blepharizonia_plumosa","Asteraceae","si","14"
"Borrichia_frutescens","Asteraceae","si","14"
"Calotis_cuneifolia","Asteraceae","si","8"
"Calycadenia_fremontii","Asteraceae","si","6"
"Calycadenia_multiglandulosa","Asteraceae","si","6"
"Calycadenia_oppositifolia","Asteraceae","si","7"
"Calycadenia_pauciflora","Asteraceae","si","6"
"Calycadenia_spicata","Asteraceae","si","4"
"Carlquistia_muirii","Asteraceae","si","8"
"Carphephorus_bellidifolius","Asteraceae","si","10"
"Carramboa_badilloi","Asteraceae","si","19"
"Carthamus_divaricatus","Asteraceae","si","11"
"Carthamus_persicus","Asteraceae","si","12"
"Centaurea_borjae","Asteraceae","si","33"
"Centaurea_jacea","Asteraceae","si","22"
"Centaurea_montana","Asteraceae","si","22"
"Centaurea_nigra","Asteraceae","si","22"
"Centaurea_scabiosa","Asteraceae","si","10"
"Centaurea_stoebe","Asteraceae","si","9"
"Cheirolophus_metlesicsii","Asteraceae","si","15"
"Chiliotrichum_diffusum","Asteraceae","si","27"
"Chondrilla_ambigua","Asteraceae","si","5"
"Chrysanthemum_indicum","Asteraceae","si","18"
"Chrysanthemum_ornatum","Asteraceae","si","36"
"Chuquiraga_avellanedae","Asteraceae","si","27"
"Chuquiraga_oppositifolia","Asteraceae","si","54"
"Cichorium_intybus","Asteraceae","si","9"
"Cirsium_arvense","Asteraceae","si","17"
"Cirsium_dissectum","Asteraceae","si","17"
"Cirsium_pitcheri","Asteraceae","si","17"
"Cirsium_spinosissimum","Asteraceae","si","17"
"Coespeletia_moritziana","Asteraceae","si","19"
"Coespeletia_timotensis","Asteraceae","si","19"
"Coreopsis_auriculata","Asteraceae","si","12"
"Coreopsis_basalis","Asteraceae","si","13"
"Coreopsis_delphiniifolia","Asteraceae","si","39"
"Coreopsis_gladiata","Asteraceae","si","13"
"Coreopsis_grandiflora","Asteraceae","si","13"
"Coreopsis_integrifolia","Asteraceae","si","13"
"Coreopsis_intermedia","Asteraceae","si","13"
"Coreopsis_lanceolata","Asteraceae","si","13"
"Coreopsis_latifolia","Asteraceae","si","13"
"Coreopsis_leavenworthii","Asteraceae","si","12"
"Coreopsis_major","Asteraceae","si","13"
"Coreopsis_nuecensis","Asteraceae","si","9"
"Coreopsis_paludosa","Asteraceae","si","12"
"Coreopsis_pubescens","Asteraceae","si","13"
"Coreopsis_pulchra","Asteraceae","si","13"
"Coreopsis_rosea","Asteraceae","si","13"
"Coreopsis_tinctoria","Asteraceae","si","12"
"Coreopsis_tripteris","Asteraceae","si","13"
"Coreopsis_verticillata","Asteraceae","si","13"
"Cosmos_bipinnatus","Asteraceae","si","12"
"Crepis_capillaris","Asteraceae","si","3"
"Crepis_foetida","Asteraceae","si","5"
"Crepis_paludosa","Asteraceae","si","6"
"Crepis_triasii","Asteraceae","si","4"
"Deinandra_clementina","Asteraceae","si","12"
"Deinandra_fasciculata","Asteraceae","si","12"
"Deinandra_minthornii","Asteraceae","si","23"
"Delairea_odorata","Asteraceae","si","10"
"Dimorphotheca_sinuata","Asteraceae","si","9"
"Dubautia_menziesii","Asteraceae","si","13"
"Dubautia_plantaginea","Asteraceae","si","14"
"Echinacea_angustifolia","Asteraceae","si","11"
"Echinacea_atrorubens","Asteraceae","si","11"
"Echinacea_laevigata","Asteraceae","si","11"
"Echinacea_pallida","Asteraceae","si","22"
"Echinacea_purpurea","Asteraceae","si","11"
"Echinacea_sanguinea","Asteraceae","si","11"
"Echinacea_simulata","Asteraceae","si","11"
"Echinacea_tennesseensis","Asteraceae","si","11"
"Emilia_discifolia","Asteraceae","si","5"
"Encelia_actoni","Asteraceae","si","18"
"Encelia_californica","Asteraceae","si","18"
"Encelia_densifolia","Asteraceae","si","18"
"Encelia_farinosa","Asteraceae","si","18"
"Encelia_frutescens","Asteraceae","si","18"
"Encelia_halimifolia","Asteraceae","si","18"
"Encelia_palmeri","Asteraceae","si","17"
"Encelia_resinifera","Asteraceae","si","18"
"Encelia_virginensis","Asteraceae","si","18"
"Enceliopsis_covillei","Asteraceae","si","18"
"Enceliopsis_nudicaulis","Asteraceae","si","17"
"Erigeron_glabellus","Asteraceae","si","9"
"Espeletia_grandiflora","Asteraceae","si","19"
"Espeletia_semiglobulata","Asteraceae","si","19"
"Eupatorium_cannabinum","Asteraceae","si","10"
"Eupatorium_resinosum","Asteraceae","si","10"
"Eurybia_furcata","Asteraceae","si","9"
"Euthamia_graminifolia","Asteraceae","si","9"
"Flaveria_angustifolia","Asteraceae","si","18"
"Flaveria_anomala","Asteraceae","si","18"
"Flaveria_brownii","Asteraceae","si","18"
"Flaveria_chlorifolia","Asteraceae","si","18"
"Flaveria_cronquistii","Asteraceae","si","18"
"Flaveria_floridana","Asteraceae","si","18"
"Flaveria_linearis","Asteraceae","si","18"
"Flaveria_mcdougallii","Asteraceae","si","18"
"Flaveria_oppositifolia","Asteraceae","si","18"
"Flaveria_palmeri","Asteraceae","si","18"
"Flaveria_pringlei","Asteraceae","si","18"
"Flaveria_pubescens","Asteraceae","si","18"
"Flaveria_ramosissima","Asteraceae","si","18"
"Flaveria_robusta","Asteraceae","si","18"
"Flaveria_sonorensis","Asteraceae","si","18"
"Gaillardia_pulchella","Asteraceae","si","17"
"Geraea_canescens","Asteraceae","si","18"
"Geraea_viscida","Asteraceae","si","18"
"Gerbera_jamesonii","Asteraceae","si","25"
"Glebionis_coronaria","Asteraceae","si","9"
"Grindelia_covasii","Asteraceae","si","6"
"Grindelia_hirsutula","Asteraceae","si","12"
"Helenium_virginicum","Asteraceae","si","13"
"Helianthus_angustifolius","Asteraceae","si","17"
"Helianthus_anomalus","Asteraceae","si","17"
"Helianthus_argophyllus","Asteraceae","si","17"
"Helianthus_arizonensis","Asteraceae","si","17"
"Helianthus_atrorubens","Asteraceae","si","17"
"Helianthus_bolanderi","Asteraceae","si","17"
"Helianthus_californicus","Asteraceae","si","17"
"Helianthus_carnosus","Asteraceae","si","17"
"Helianthus_ciliaris","Asteraceae","si","34"
"Helianthus_cusickii","Asteraceae","si","17"
"Helianthus_decapetalus","Asteraceae","si","34"
"Helianthus_deserticola","Asteraceae","si","17"
"Helianthus_divaricatus","Asteraceae","si","17"
"Helianthus_eggertii","Asteraceae","si","51"
"Helianthus_floridanus","Asteraceae","si","17"
"Helianthus_giganteus","Asteraceae","si","17"
"Helianthus_glaucophyllus","Asteraceae","si","17"
"Helianthus_grosseserratus","Asteraceae","si","17"
"Helianthus_heterophyllus","Asteraceae","si","17"
"Helianthus_hirsutus","Asteraceae","si","34"
"Helianthus_laciniatus","Asteraceae","si","17"
"Helianthus_laevigatus","Asteraceae","si","34"
"Helianthus_longifolius","Asteraceae","si","17"
"Helianthus_maximiliani","Asteraceae","si","17"
"Helianthus_microcephalus","Asteraceae","si","17"
"Helianthus_mollis","Asteraceae","si","17"
"Helianthus_neglectus","Asteraceae","si","17"
"Helianthus_nuttallii","Asteraceae","si","17"
"Helianthus_occidentalis","Asteraceae","si","17"
"Helianthus_paradoxus","Asteraceae","si","17"
"Helianthus_petiolaris","Asteraceae","si","17"
"Helianthus_pumilus","Asteraceae","si","17"
"Helianthus_radula","Asteraceae","si","17"
"Helianthus_resinosus","Asteraceae","si","51"
"Helianthus_salicifolius","Asteraceae","si","17"
"Helianthus_schweinitzii","Asteraceae","si","34"
"Helianthus_silphioides","Asteraceae","si","17"
"Helianthus_simulans","Asteraceae","si","17"
"Helianthus_smithii","Asteraceae","si","34"
"Xerochrysum_bracteatum","Asteraceae","si","13"
"Heliomeris_longifolia","Asteraceae","si","8"
"Heliomeris_multiflora","Asteraceae","si","8"
"Heliopsis_annua","Asteraceae","si","14"
"Heliopsis_parvifolia","Asteraceae","si","14"
"Helminthotheca_echioides","Asteraceae","si","5"
"Heterotheca_subaxillaris","Asteraceae","si","9"
"Hieracium_umbellatum","Asteraceae","si","9"
"Holocarpha_heermannii","Asteraceae","si","6"
"Holocarpha_virgata","Asteraceae","si","4"
"Holozonia_filipes","Asteraceae","si","14"
"Hulsea_algida","Asteraceae","si","19"
"Hulsea_californica","Asteraceae","si","19"
"Hypochaeris_incana","Asteraceae","si","4"
"Hypochaeris_maculata","Asteraceae","si","5"
"Hypochaeris_uniflora","Asteraceae","si","5"
"Ionactis_linariifolia","Asteraceae","si","9"
"Ixeris_chinensis","Asteraceae","si","8"
"Kyhosia_bolanderi","Asteraceae","si","6"
"Lactuca_perennis","Asteraceae","si","9"
"Lagophylla_minor","Asteraceae","si","7"
"Lasthenia_conjugens","Asteraceae","si","6"
"Lasthenia_minor","Asteraceae","si","4"
"Layia_chrysanthemoides","Asteraceae","si","7"
"Layia_discoidea","Asteraceae","si","8"
"Layia_glandulosa","Asteraceae","si","8"
"Layia_munzii","Asteraceae","si","7"
"Layia_pentachaeta","Asteraceae","si","8"
"Layia_platyglossa","Asteraceae","si","8"
"Layia_septentrionalis","Asteraceae","si","8"
"Leontodon_longirostris","Asteraceae","si","4"
"Leontodon_saxatilis","Asteraceae","si","4"
"Leucanthemum_vulgare","Asteraceae","si","9"
"Liatris_aspera","Asteraceae","si","10"
"Liatris_cylindracea","Asteraceae","si","10"
"Liatris_helleri","Asteraceae","si","10"
"Liatris_ligulistylis","Asteraceae","si","10"
"Liatris_ohlingerae","Asteraceae","si","10"
"Liatris_spicata","Asteraceae","si","10"
"Madia_elegans","Asteraceae","si","8"
"Microseris_borealis","Asteraceae","si","9"
"Microseris_howellii","Asteraceae","si","9"
"Microseris_laciniata","Asteraceae","si","9"
"Microseris_lanceolata","Asteraceae","si","18"
"Microseris_sylvatica","Asteraceae","si","9"
"Mikania_micrantha","Asteraceae","si","19"
"Nassauvia_lagascae","Asteraceae","si","11"
"Nassauvia_pygmaea","Asteraceae","si","22"
"Nassauvia_revoluta","Asteraceae","si","11"
"Osmadenia_tenella","Asteraceae","si","9"
"Packera_aurea","Asteraceae","si","22"
"Packera_obovata","Asteraceae","si","22"
"Packera_paupercula","Asteraceae","si","23"
"Packera_schweinitziana","Asteraceae","si","22"
"Parthenium_integrifolium","Asteraceae","si","36"
"Pentachaeta_lyonii","Asteraceae","si","9"
"Perezia_pilifera","Asteraceae","si","8"
"Perezia_recurvata","Asteraceae","si","12"
"Picris_hieracioides","Asteraceae","si","5"
"Picris_nuristanica","Asteraceae","si","5"
"Rhodanthemum_atlanticum","Asteraceae","si","9"
"Rhodanthemum_catananche","Asteraceae","si","9"
"Rhodanthemum_depressum","Asteraceae","si","9"
"Rhodanthemum_maresii","Asteraceae","si","9"
"Rhodanthemum_redieri","Asteraceae","si","9"
"Ruilopezia_floccosa","Asteraceae","si","19"
"Scorzonera_humilis","Asteraceae","si","7"
"Scorzoneroides_autumnalis","Asteraceae","si","6"
"Senecio_amygdalifolius","Asteraceae","si","19"
"Senecio_anethifolius","Asteraceae","si","30"
"Senecio_cunninghamii","Asteraceae","si","30"
"Senecio_inaequidens","Asteraceae","si","20"
"Senecio_leucanthemifolius","Asteraceae","si","10"
"Senecio_linearifolius","Asteraceae","si","30"
"Senecio_macranthus","Asteraceae","si","20"
"Senecio_madagascariensis","Asteraceae","si","20"
"Senecio_nevadensis","Asteraceae","si","20"
"Senecio_pectinatus","Asteraceae","si","40"
"Senecio_pterophorus","Asteraceae","si","10"
"Senecio_squalidus","Asteraceae","si","10"
"Senecio_tricuspidatus","Asteraceae","si","20"
"Simsia_calva","Asteraceae","si","17"
"Simsia_foetida","Asteraceae","si","17"
"Simsia_fruticulosa","Asteraceae","si","17"
"Simsia_holwayi","Asteraceae","si","17"
"Simsia_molinae","Asteraceae","si","17"
"Simsia_sanguinea","Asteraceae","si","17"
"Simsia_santarosensis","Asteraceae","si","17"
"Simsia_setosa","Asteraceae","si","17"
"Simsia_steyermarkii","Asteraceae","si","17"
"Simsia_tenuis","Asteraceae","si","17"
"Simsia_villasenorii","Asteraceae","si","17"
"Solidago_canadensis","Asteraceae","si","9"
"Solidago_gigantea","Asteraceae","si","18"
"Solidago_nemoralis","Asteraceae","si","9"
"Solidago_rugosa","Asteraceae","si","9"
"Solidago_sempervirens","Asteraceae","si","9"
"Solidago_shortii","Asteraceae","si","18"
"Solidago_simplex","Asteraceae","si","9"
"Sonchus_crassifolius","Asteraceae","si","9"
"Sonchus_pustulatus","Asteraceae","si","9"
"Sonchus_tenerrimus","Asteraceae","si","7"
"Stephanomeria_diegensis","Asteraceae","si","8"
"Stevia_rebaudiana","Asteraceae","si","11"
"Symphyotrichum_ericoides","Asteraceae","si","5"
"Symphyotrichum_laeve","Asteraceae","si","24"
"Symphyotrichum_novae-angliae","Asteraceae","si","5"
"Symphyotrichum_novi-belgii","Asteraceae","si","24"
"Symphyotrichum_patens","Asteraceae","si","10"
"Symphyotrichum_puniceum","Asteraceae","si","8"
"Symphyotrichum_shortii","Asteraceae","si","9"
"Tanacetum_cinerariifolium","Asteraceae","si","9"
"Taraxacum_ceratophorum","Asteraceae","si","12"
"Tephroseris_crispa","Asteraceae","si","24"
"Tetraneuris_acaulis","Asteraceae","si","15"
"Tilesia_baccata","Asteraceae","si","25"
"Tolpis_calderae","Asteraceae","si","9"
"Tolpis_crassiuscula","Asteraceae","si","9"
"Tolpis_lagopoda","Asteraceae","si","9"
"Tolpis_proustii","Asteraceae","si","9"
"Townsendia_condensata","Asteraceae","si","9"
"Townsendia_florifer","Asteraceae","si","9"
"Townsendia_parryi","Asteraceae","si","18"
"Wilkesia_gymnoxiphium","Asteraceae","si","14"
"Xanthisma_spinulosum","Asteraceae","si","4"
"Zinnia_acerosa","Asteraceae","si","10"
"Zinnia_juniperifolia","Asteraceae","si","10"
"Zinnia_oligantha","Asteraceae","si","10"
"Aethionema_arabicum","Brassicaceae","sc","18"
"Aethionema_carneum","Brassicaceae","sc","11"
"Alliaria_petiolata","Brassicaceae","sc","21"
"Alyssum_alyssoides","Brassicaceae","sc","16"
"Alyssum_damascenum","Brassicaceae","sc","16"
"Alyssum_desertorum","Brassicaceae","sc","16"
"Alyssum_simplex","Brassicaceae","sc","8"
"Arabidopsis_suecica","Brassicaceae","sc","13"
"Arabidopsis_thaliana","Brassicaceae","sc","5"
"Arabis_allionii","Brassicaceae","sc","8"
"Arabis_aucheri","Brassicaceae","sc","8"
"Arabis_blepharophylla","Brassicaceae","sc","8"
"Arabis_hirsuta","Brassicaceae","sc","16"
"Arabis_planisiliqua","Brassicaceae","sc","8"
"Arabis_sagittata","Brassicaceae","sc","8"
"Arabis_scabra","Brassicaceae","sc","8"
"Arabis_soyeri","Brassicaceae","sc","8"
"Arabis_verna","Brassicaceae","sc","16"
"Athysanus_pusillus","Brassicaceae","sc","13"
"Barbarea_verna","Brassicaceae","sc","8"
"Biscutella_auriculata","Brassicaceae","sc","8"
"Biscutella_didyma","Brassicaceae","sc","8"
"Biscutella_lyrata","Brassicaceae","sc","8"
"Boechera_crandallii","Brassicaceae","sc","7"
"Boechera_gunnisoniana","Brassicaceae","sc","7"
"Boechera_lyallii","Brassicaceae","sc","21"
"Boechera_parishii","Brassicaceae","sc","7"
"Boechera_platysperma","Brassicaceae","sc","7"
"Boechera_retrofracta","Brassicaceae","sc","7"
"Boechera_stricta","Brassicaceae","sc","7"
"Brassica_bourgeaui","Brassicaceae","sc","9"
"Brassica_carinata","Brassicaceae","sc","17"
"Brassica_juncea","Brassicaceae","sc","18"
"Brassica_napus","Brassicaceae","sc","19"
"Brassica_oxyrrhina","Brassicaceae","sc","9"
"Braya_fernaldii","Brassicaceae","sc","28"
"Braya_glabella","Brassicaceae","sc","28"
"Braya_longii","Brassicaceae","sc","28"
"Bunias_orientalis","Brassicaceae","sc","7"
"Cakile_edentula","Brassicaceae","sc","9"
"Cakile_geniculata","Brassicaceae","sc","9"
"Calepina_irregularis","Brassicaceae","sc","14"
"Camelina_microcarpa","Brassicaceae","sc","16"
"Camelina_sativa","Brassicaceae","sc","18"
